state,today,total
APHC MALHIPUR SAHEBPUR KAMAL,0,"2,133"
APHC NURPUR MAHNA PHC BARAUNI,0,100
APHC SIMARIYA PHC BARAUNI,0,429
APHSC CHAMTHA BACHWARA,0,"1,154"
AYURVEDIK COLLAGE BEGUSARAI,0,"30,784"
Allexia,0,"1,575"
Amrit Jeevan Hospital Begusara,0,649
Aphc Paharpur Hanuman Nagar,0,"3,061"
Aphc Parihara Harijan Tola,0,"5,941"
BAGDOV HSC,0,"4,391"
BANBARIPUR HSC,0,"9,120"
BARAUNI RAILWAY HOSPITAL,0,2
BGHSCNURULLAHPURPHCKHODAWANPUR,0,27
BGS APHC AMARI PHC CHHAURAHI,0,"2,199"
BGS APHC PASHARA PHC NAWKOTHI,0,159
BGS HIDUSTAN URVARAK BARAUNI,0,225
BGS HSC AGAPUR PHC MANSURCHAK,0,988
BGS HSC AHIYAPUR PHCMANSURCHAK,0,"1,125"
BGS HSC AMARI PHC CHAURAHI,0,300
BGS HSC ATARUA PHC BHAGWANPUR,0,274
BGS HSC BAGWARA PHC SADAR,0,"3,206"
BGS HSC BAHDARPUR PHC SADAR,0,"1,571"
BGS HSC BAJITPUR PHC CHAURAHI,0,491
BGS HSC BAKARI PHC CHHAURAHI,0,349
BGS HSC BANDWAR PHC SADAR,0,"1,531"
BGS HSC BANK PHC DANDARI,0,399
BGS HSC BARA PHC KHODAWANPUR,0,544
BGS HSC BARBIGHI PHC BALLIA,0,815
BGS HSC BARI BALIA PHC BALIA,0,"1,305"
BGS HSC BENGA PHC CHAURAHI,0,159
BGS HSC BHAGATPUR PHC BALIYA,0,613
BGS HSC BHAIRWAR PHC SADAR,0,"2,199"
BGS HSC BHOJA PHC CHAURAHI,0,250
BGS HSC BIHAT POKHAR PHCBARAUN,0,199
BGS HSC BINODPUR PHC SADAR,0,"2,044"
BGS HSC CHAK HAMID PHC BAKHARI,0,516
BGS HSC CHALKI PHC KHODAWANPUR,0,978
BGS HSC CHANDPURA PHC SADAR,0,"2,277"
BGS HSC CHILMIL PHC SADAR,0,"2,452"
BGS HSC CHURAMANCHAK PHC BPUR,0,259
BGS HSC DANAULI PHC BALIYA,0,328
BGS HSC DHABAULI PHC SADAR,0,"2,208"
BGS HSC DUNHI PHC GADHPURA,0,189
BGS HSC EJANI PHC CHAURAHI,0,394
BGS HSC EKAMBA PHC CHAURAHI,0,451
BGS HSC FAFAUT PHC KHODAWANPUR,0,"1,219"
BGS HSC FATEHA PHC BACHHWARA,0,172
BGS HSC FATEHPUR PHC BALIYA,0,339
BGS HSC GAMHARIYA PHC NAWKOTHI,0,"1,108"
BGS HSC GHAGHRA PHC BAKHRI,0,580
BGS HSC HASANPUR PHC BALIYA,0,321
BGS HSC HAWASPUR PHCMANSURCHAK,0,917
BGS HSC JAHANPUR PHC BACHWARA,0,218
BGS HSC JANA PHC CHAURAHI,0,118
BGS HSC JAYRAMPURI PHC B.PUR,0,278
BGS HSC KADARABAD PHC BACHWARA,0,337
BGS HSC KAITH PHC SADAR,0,"2,649"
BGS HSC KASHIMPUR PHC MATIHANI,0,8
BGS HSC KASWA PHC BALIYA,0,609
BGS HSC KATAHRI PHC DANDARI,0,709
BGS HSC KHAMHAR PHC SADAR,0,"1,313"
BGS HSC KORIYA PHC SADAR,0,"2,614"
BGS HSC KUMHARSO PHC GADHPURA,0,164
