state,today,total
APHC Dharphari,0,"1,142"
APHC Pagahiya Aima,0,147
ARUAI BASANT SAMUDAYIK BHAWAN,0,596
ARUAI JOGIYA PS RAJKHAND NORTH,0,220
ARUAI MS PARAMJIVAR,0,389
AUR M1 BARTHUA,0,80
AUR M1 BASANT PANCHAYAT,0,412
AUR M1 DIHJIVAR PANCHAYAT,0,222
AUR M1 GHANSHYAMPUR PANCHAYAT,0,332
AUR M1 MS BHALURA,0,20
AUR M1 RAMPUR PANCHAYAT,0,111
AUR M1 RATWARA PASHCHIMI,0,273
AUR M1 TARAJIVAR PANCHAYAT,0,488
AUR M1 URB TE JUBBA SAHANI,0,54
AURAI AWW115 PARAMJIVAR,0,7
AURAI BALIYA UTKRMIT RAJKHND N,0,290
AURAI BRAHMSTHAN M BESHI,0,400
AURAI HINDI SCHOOL RAMKHETARI,0,399
AURAI HSC BAIGNA,0,831
AURAI HSC BHALURA,0,880
AURAI HSC DEVKULI,0,407
AURAI HSC MADHUVAN BEAHI,0,366
AURAI HSC MAHESHWARA,0,567
AURAI HSC RAJKHAND SOUTH KOKIL,0,600
AURAI HSC SHAHIJIVARBHARATPATI,0,32
AURAI HSC SUNDARKHAULI,0,268
AURAI M S AMNAUR,0,155
AURAI M S ATRAR,0,"1,053"
AURAI M S BASANT,0,80
AURAI M S PANAPUR,0,815
AURAI M S RAMPUR,0,401
AURAI M S SAHILAERAZI,0,425
AURAI M S SAMBHUTA,0,234
AURAI M S SUNDERKHAULI,0,300
AURAI MATHURAPUR BUJURG,0,200
AURAI MIDDLE SCHOOL GOPALPUR,0,220
AURAI MIRZAPUR,0,150
AURAI MS BHARTHUA,0,749
AURAI MS DIHJIVAR,0,273
AURAI P S BHARATPATTI,0,150
AURAI P S HIRDEVPATTI,0,302
AURAI RAJKIYA M S BISTHA,0,601
AURAI SAHILABALLI AWC 126,0,"1,653"
AURAI SASAULI P.S MUSHAR,0,297
AURAI U VIDHALY MADHUVAN BESHI,0,291
AURAI UTKARMIT M S ASHMANPUR,0,290
AURAI UTKARMIT M S BAIGNA,0,400
AURAI UTKARMIT M S BHAWANIPUR,0,300
AURAI UTKARMIT MIDDLE SCHOOL,0,400
AURAI-HSC GHANSHYAMPUR,0,848
AURAI-HSC KALYANPUR,0,400
AURAI-HSC- BHARTHUA,0,407
Anda Godam Maripur Ke Pass,0,60
Aruai APHC Tara Jeevar,0,364
Ashoka Hospital Muzaffarpur,0,711
Aurai 18 Plus APHC Sarhachiya,0,"1,884"
Aurai 18 Plus HS Ram Jivar,0,971
Aurai 18 Plus MSH Aurai,0,"1,628"
Aurai APHC Shahi Jeevar,0,299
Aurai AWC 147 Babhangama,0,210
Aurai AWC 160,0,22
Aurai Abhimanpur AWC 153,0,372
Aurai Atrar AWC 222,0,30
Aurai Awc 108 Dakrama,0,330
Aurai Awc 208,0,27
Aurai Awc 30 Basatpur,0,21
Aurai Basua AWC 222,0,41
Aurai CHC For WWD 1,0,72
Aurai CHC For WWD 2,0,212
Aurai CHC for HCW,0,"1,369"
Aurai HS Ram Jivar,0,"2,970"
Aurai HSC Basant,0,421
Aurai HSC Bhado,0,424
Aurai HSC Bhairavsthan,0,21
Aurai HSC Bhawanipur,0,328
Aurai HSC Dakrama,0,17
Aurai HSC Dakrawan,0,93
Aurai HSC Hanswara,0,77
Aurai HSC Janar,0,"1,913"
Aurai HSC Jonki,0,497
Aurai HSC Khetalpur,0,24
Aurai HSC Maheshasthan,0,10
Aurai HSC Parri,0,18
Aurai HSC Shahijivar,0,61
Aurai Hsc Ganguli,0,948
Aurai Hsc Ghaghari,0,677
Aurai Hsc Sambhuta,0,14
Aurai M S Khetalpur,0,"1,024"
Aurai MS Amnaur,0,323
Aurai MS Benipur,0,324
Aurai MS Madhuban PRATAP,0,90
Aurai MS Parari,0,22
Aurai MS Ramnagara,0,493
Aurai MS Shahiminar,0,946
Aurai MV Rampur,0,20
Aurai PB Janar,0,662
Aurai PS Basua,0,991
Aurai PS Chahuta,0,864
BAN Chandauli Mathiya,0,195
BAN M1 BADGAOW PANCHAYAT,0,456
BAN M1 MAHESHPUR SHANKARPUR,0,5
BAN M1 PIRAPUR PANCHAYAT,0,119
BAN M1 RAMPUR DAYAL PANCHAYAT,0,91
BAN M1 RATWARA PANCHAYAT,0,104
BAN M1 SUNDARPUR RATWARA,0,69
BAN M1 URB MADARSA CHOWK,0,351
BAN M1 URB RAJNANRAYAN SINGH,0,120
BAN S BS PIAR,0,375
BAN S MS PATSARA,0,491
BANDRA PS Nunfara,0,127
BIBI Ganj DilarKe Duk(AWC 284),0,99
