state,today,total
APHC Akauna Singhia,0,687
APHC Akhtiyarpur,0,"4,951"
APHC Baidyanathpur,0,"4,950"
APHC Bandhar,0,"9,427"
APHC Bhirha,0,"11,602"
APHC Birsinghpur,0,"4,971"
APHC Chakmehasi,0,"8,028"
APHC Chandauli Morwa,0,"8,314"
APHC Chandauli Pusa,0,"7,914"
APHC Dhamoun,0,"10,189"
APHC Gangapur Pusa,0,"3,974"
APHC Gangauli,0,"5,544"
APHC Jagmohara,0,546
APHC Jalalpur Moh,0,"3,423"
APHC KameswarNagar,0,"8,147"
APHC Karpurigram,0,"9,768"
APHC Kishanpur Baikunth,0,"6,969"
APHC Korbadha,0,"8,868"
APHC Kursaha,0,"9,202"
APHC Mahmaddipur,0,"6,222"
APHC Mahra,0,"3,659"
APHC Mangalgardh,0,"8,531"
APHC Manpura,0,"8,247"
APHC Narhan,0,"8,438"
APHC Paddigajpatti,0,"3,898"
APHC Patasiya,0,178
APHC Raghunathpur,0,"1,341"
APHC Rasalpur,0,"5,583"
APHC Rupouli,0,"10,862"
APHC Singhia Khurd,0,"7,759"
APHC Sonsa,0,"4,093"
APHC Sumbhadeodhi,0,"10,458"
APHC Tekna,0,"4,917"
Ahiwaran Dharamshala Rosera,0,"5,623"
B ED Training College Patori,0,"12,848"
BB HIGH SCHOOL ROSERA,0,"3,491"
BB Sanskrit High School Rosera,0,"11,300"
BEd Training College Patori II,0,"7,827"
BRC Bathua Sarairanjan,0,"3,811"
BRC Madudabad,0,"1,534"
Basic School Pusa,0,"3,676"
Bibhutipur CLF Adhikar,0,"2,699"
Bibhutipur CRC- I,0,"5,530"
Bibhutipur PHC,0,"10,343"
Bibhutipur RBSK Team-I,0,"7,488"
Bibhutipur RBSK Team-II,0,"8,366"
Bibhutipur Workplace Center,0,"6,236"
Bithan CRC- I,0,"2,885"
Bithan PHC,0,"6,470"
Bithan RBSK Team- I,0,"5,331"
Bithan Workplace Center,0,"4,985"
C H School Dalsingsarai,0,"5,524"
CLF AAjad Hasanpur,0,151
CLF Aanand Vidyapati Nagar,0,"2,064"
CLF Adarsh Morwa,0,"3,275"
CLF Anant Hasanpur,0,587
CLF Archana Mohiuddinagar,0,"1,225"
CLF Bharat Hasanpur,0,907
CLF Bharat Ratna Dalsingsaria,0,"1,208"
CLF Chamatkar Bithan,0,"3,759"
CLF Ekta Singhia,0,72
CLF Gandhi Rosera,0,"2,031"
CLF Hindustan Ujiarpur,0,"4,253"
CLF Jai Hind Dalsinghsarai,0,727
CLF Jivan Sahara Tajpur,0,975
CLF Kalash Sarairanjan,0,"1,412"
CLF Kanak Samastipur,0,129
CLF Khushal Warisnagar,0,611
CLF Khushi Bibhutipur,0,"2,476"
CLF Kiran Samastipur,0,254
CLF Lakshmi Bai Mohiuddinagar,0,898
CLF Lakshya Pusa,0,953
CLF Lili Kalyanpur,0,645
CLF Mahan Morwa,0,"2,073"
CLF Mahasagar Tajpur,0,"5,259"
CLF Mahashakti Sarairanjan,0,"1,391"
CLF Nari Shakti Mohiuddinagar,0,"1,091"
CLF Pratigya Mohanpur,0,"1,104"
CLF Prayas Sarairanjan,0,"1,753"
CLF Prithvi Samastipur,0,194
CLF Raushan Shivajinagar,0,"2,317"
CLF Raushani Rosera,0,"2,385"
CLF Sagar Rosera,0,"1,180"
CLF Saheli Tajpur,0,"1,784"
CLF Sarthak Pusa,0,972
CLF Sathi Patori,0,134
CLF Savera Ujiyarpur,0,"4,656"
CLF Shakti Mohanpur,0,830
CLF Shakti Singhia,0,"12,418"
CLF Shashi Ujiyarpur,0,"3,930"
CLF Ujwal Warisnagar,0,889
CLF Ummid Singhia,0,827
CLF Upkar Kalyanpur,0,"1,064"
CLF Utkarsh Bithan,0,"3,932"
