state,today,total
Andaman and Nicobar Islands,180,"3,92,199"
Andhra Pradesh,"2,717","3,53,74,711"
Arunachal Pradesh,487,"10,44,748"
Assam,"1,644","2,06,45,150"
Bihar,"1,495","4,61,28,771"
Chandigarh,903,"12,28,693"
Chhattisgarh,183,"1,45,99,745"
Dadra and Nagar Haveli,38,"4,56,724"
Daman and Diu,3,"3,61,355"
Delhi,"5,134","1,53,53,592"
Goa,376,"16,88,550"
Gujarat,"8,338","5,29,89,370"
Haryana,"11,977","1,92,25,563"
Himachal Pradesh,373,"76,04,446"
Jammu and Kashmir,"3,016","95,58,509"
Jharkhand,544,"1,53,78,051"
Karnataka,"3,365","4,82,19,345"
Kerala,"11,527","3,18,77,252"
Ladakh,102,"3,21,943"
Lakshadweep,0,"88,910"
Madhya Pradesh,"16,718","5,21,88,397"
Maharashtra,"31,958","6,89,11,957"
Manipur,50,"16,07,137"
Meghalaya,62,"14,25,728"
Mizoram,34,"10,00,697"
Nagaland,231,"9,42,277"
Odisha,"21,138","2,60,69,964"
Puducherry,898,"8,87,372"
Punjab,"2,827","1,65,53,418"
Rajasthan,"43,400","5,07,46,663"
Sikkim,212,"7,76,068"
Tamil Nadu,"8,731","4,02,53,491"
Telangana,"1,260","2,00,03,120"
Tripura,455,"35,32,791"
Uttar Pradesh,"4,410","8,97,79,737"
Uttarakhand,"1,663","95,05,433"
West Bengal,"2,875","4,81,32,061"
