mobile_name,price
"POCO C3 (Matte Black, 64 GB)","8,349"
"POCO C3 (Arctic Blue, 32 GB)","7,349"
"OPPO A53 (Mint Cream, 64 GB)","10,990"
"POCO C3 (Matte Black, 32 GB)","7,349"
"POCO C3 (Lime Green, 32 GB)","7,349"
"OPPO A53 (Moonlight Black, 128 GB)","13,990"
"OPPO A12 (Deep Blue, 64 GB)","9,490"
"OPPO A12 (Blue, 32 GB)","9,490"
"OPPO A12 (Flowing Silver, 64 GB)","9,490"
"OPPO A12 (Black, 32 GB)","9,490"
"POCO C3 (Lime Green, 64 GB)","8,349"
"REDMI 9i (Nature Green, 64 GB)","8,799"
"POCO M3 (Power Black, 64 GB)","11,999"
"REDMI 9i (Midnight Black, 64 GB)","8,799"
"realme C11 2021 (Cool Grey, 32 GB)","7,299"
"POCO M3 (Cool Blue, 64 GB)","11,999"
"POCO M3 (Yellow, 64 GB)","11,999"
"REDMI 9 Power (Blazing Blue, 64 GB)","11,499"
"POCO M3 (Power Black, 128 GB)","12,999"
"realme C21 (Cross Blue, 64 GB)","9,999"
"realme C21 (Cross Black, 32 GB)","8,999"
"realme C21 (Cross Black, 64 GB)","9,999"
"realme C21 (Cross Blue, 32 GB)","8,999"
"REDMI 9i (Sea Blue, 64 GB)","8,799"
